1580744690.447036617 1 ubuntu.com connectivity-check.ubuntu.com 1721
1580744690.447083454 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 210
1580744690.447083454 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 210
1580744690.502261840 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 10
1580744690.502261840 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580744690.504152261 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 57
1580744690.504152261 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580744690.504152261 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580744690.504152261 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580744690.504152261 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
