1579737350.781859832 4 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1579737350.781859832 5 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1579737350.781859832 6 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1579737350.781859832 7 h2.shared.global.fastly.net sync-tm.everesttech.net 29
1579737350.872583815 1 dsp.adfarm1.adition.com dsp.adfarm1.adition.com 3522
1579737350.872583815 2 dsp.adfarm1.adition.com dsp.adfarm1.adition.com 3522
1579737350.873577422 1 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 2 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 3 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 4 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 5 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 6 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 7 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 8 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 9 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 10 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 11 d5p.de17a.com d5p.de17a.com 19802
1579737350.873577422 12 d5p.de17a.com d5p.de17a.com 19802
1579737350.873926489 1 c1.adform.net track.adformnet.akadns.net 1027
1579737350.873926489 2 track.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 3 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 4 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 5 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 6 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 7 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 516
1579737350.873926489 8 track-eu.adformnet.akadns.net c1.adform.net 516
1579737350.893515181 1 x.bidswitch.net alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 10
1579737350.893515181 2 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 3 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 4 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 5 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 6 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 7 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 8 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 13
1579737350.893515181 9 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com x.bidswitch.net 13
1579737350.897877353 1 pm.w55c.net dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com 3599
1579737350.897877353 2 dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com 16
1579737350.897877353 3 dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com 16
1579737350.897877353 4 dxedge-prod-lb-931619715.eu-west-1.elb.amazonaws.com pm.w55c.net 16
1579737350.948404098 1 pr-bh.ybp.yahoo.com ds-pr-bh.ybp.gysm.yahoodns.net 261
1579737350.948404098 2 ds-pr-bh.ybp.gysm.yahoodns.net pr-bh.ybp.yahoo.com 232
1579737350.958473726 1 ads.yahoo.com fo-fd-world-new.yax.gysm.yahoodns.net 19599
1579737350.958473726 2 fo-fd-world-new.yax.gysm.yahoodns.net fo-fd-world-new.yax.gysm.yahoodns.net 52
1579737350.958473726 3 fo-fd-world-new.yax.gysm.yahoodns.net ads.yahoo.com 52
1579737351.096917247 1 r.turn.com r.turn.com.akadns.net 293
1579737351.096917247 2 r.turn.com.akadns.net r.turn.com 299
1579737351.099664811 1 pixel.rubiconproject.com pixel.rubiconproject.net.akadns.net 152
1579737351.099664811 2 pixel.rubiconproject.net.akadns.net pixel.rubiconproject.net.akadns.net 147
1579737351.099664811 3 pixel.rubiconproject.net.akadns.net pixel.rubiconproject.net.akadns.net 147
1579737351.099664811 4 pixel.rubiconproject.net.akadns.net pixel.rubiconproject.com 147
1579737351.138735027 1 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 2 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 3 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 4 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 5 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 6 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 7 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.138735027 8 sync.srv.stackadapt.com sync.srv.stackadapt.com 58
1579737351.144200607 1 cookiex.ngd.yahoo.com fo-fd-world-new.yax.gysm.yahoodns.net 20590
1579737351.144200607 2 fo-fd-world-new.yax.gysm.yahoodns.net fo-fd-world-new.yax.gysm.yahoodns.net 32
1579737351.144200607 3 fo-fd-world-new.yax.gysm.yahoodns.net cookiex.ngd.yahoo.com 32
