1579636093.471295813 4 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579636093.471295813 5 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579636093.471295813 6 dualstack.f3.shared.global.fastly.net cdn.jsdelivr.net 29
1579636093.471510286 1 comparisontool.prtl.co comparisontool.prtl.co 156
1579636093.471510286 2 comparisontool.prtl.co comparisontool.prtl.co 156
1579636093.472826243 1 www.googleadservices.com l.doubleclick.net 222
1579636093.472826243 2 l.doubleclick.net www.googleadservices.com 59
1579636093.477368196 1 storage-prtl-co.imgix.net dualstack.com.imgix.map.fastly.net 3588
1579636093.477368196 2 dualstack.com.imgix.map.fastly.net storage-prtl-co.imgix.net 29
1579636093.479993871 1 prtl.co comparisontool.prtl.co 1799
1579636093.533439824 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 246
1579636093.533439824 2 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.533439824 3 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.533439824 4 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.533439824 5 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.533672473 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 148
1579636093.533672473 2 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.567424702 1 ocsp.pki.goog pki-goog.l.google.com 284
1579636093.567424702 2 pki-goog.l.google.com ocsp.pki.goog 100
1579636093.567460456 1 ocsp.pki.goog pki-goog.l.google.com 43
1579636093.567460456 2 pki-goog.l.google.com ocsp.pki.goog 290
1579636093.588721548 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 204
1579636093.588721548 2 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.615702271 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 219
1579636093.615702271 2 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.615702271 3 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.615702271 4 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.615702271 5 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.665785057 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 246
1579636093.665785057 2 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.665819686 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 246
1579636093.665819686 2 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.665819686 3 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.665819686 4 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.665819686 5 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.736070410 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 153
1579636093.736070410 2 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 54
1579636093.763972319 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 148
1579636093.763972319 2 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.763972319 3 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.763972319 4 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.763972319 5 d1zkz3k4cclnv6.cloudfront.net tracking-protection.cdn.mozilla.net 59
1579636093.795583597 1 tracking-protection.cdn.mozilla.net d1zkz3k4cclnv6.cloudfront.net 153
1579636093.795583597 2 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.795583597 3 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
1579636093.795583597 4 d1zkz3k4cclnv6.cloudfront.net d1zkz3k4cclnv6.cloudfront.net 59
