1579654305.315698195 5 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1579654305.315698195 6 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1579654305.315698195 7 h2.shared.global.fastly.net sync-tm.everesttech.net 29
1579654305.552459066 1 googleads4.g.doubleclick.net pagead.l.doubleclick.net 299
1579654305.552459066 2 pagead.l.doubleclick.net googleads4.g.doubleclick.net 299
1579654305.556194985 1 s0.2mdn.net s0-2mdn-net.l.google.com 299
1579654305.556194985 2 s0-2mdn-net.l.google.com s0.2mdn.net 299
1579654305.794318622 1 staticxx.facebook.com scontent.xx.fbcdn.net 3216
1579654305.794318622 2 scontent.xx.fbcdn.net staticxx.facebook.com 44
1579654306.010960336 1 i.w55c.net dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 3589
1579654306.010960336 2 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 3 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 4 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 5 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 6 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 7 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 8 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com 27
1579654306.010960336 9 dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com i.w55c.net 27
1579654306.737640691 1 dpm.demdex.net gslb-2.demdex.net 263
1579654306.737640691 2 gslb-2.demdex.net edge-irl1.demdex.net 899
1579654306.737640691 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 899
1579654306.737640691 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 53
1579654306.737640691 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dpm.demdex.net 53
1579654307.094615295 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 4872
1579654307.094615295 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1579654307.094615295 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 43
1579654307.101430684 1 pixel.advertising.com prod.ups-adcom.aolp-ds-prd.aws.oath.cloud 41
1579654307.101430684 2 prod.ups-adcom.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 299
1579654307.101430684 3 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 4 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 5 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 6 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 7 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 8 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 9 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud 59
1579654307.101430684 10 prod.ups-eu-central-1.aolp-ds-prd.aws.oath.cloud pixel.advertising.com 59
1579654307.248926502 1 ups.analytics.yahoo.com prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 1285
1579654307.248926502 2 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 3 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 4 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 5 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 6 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 7 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 8 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud 45
1579654307.248926502 9 prod.ups-yahoo.aolp-ds-prd.aws.oath.cloud ups.analytics.yahoo.com 45
1579654307.303976764 1 id5-sync.com id5-sync.com 1797
1579654307.303976764 2 id5-sync.com id5-sync.com 1797
1579654307.303976764 3 id5-sync.com id5-sync.com 1797
1579654307.303976764 4 id5-sync.com id5-sync.com 1797
1579654307.303976764 5 id5-sync.com id5-sync.com 1797
1579654307.303976764 6 id5-sync.com id5-sync.com 1797
1579654307.303976764 7 id5-sync.com id5-sync.com 1797
1579654307.303976764 8 id5-sync.com id5-sync.com 1797
1579654307.303976764 9 id5-sync.com id5-sync.com 1797
1579654307.303976764 10 id5-sync.com id5-sync.com 1797
1579654307.303976764 11 id5-sync.com id5-sync.com 1797
1579654308.455626563 1 match.prod.bidr.io match.prod.bidr.io 59
1579654308.455626563 2 match.prod.bidr.io match.prod.bidr.io 59
1579654308.455626563 3 match.prod.bidr.io match.prod.bidr.io 59
1579654308.455626563 4 match.prod.bidr.io match.prod.bidr.io 59
1579654308.455626563 5 match.prod.bidr.io match.prod.bidr.io 59
1579654308.455626563 6 match.prod.bidr.io match.prod.bidr.io 59
1579654310.045718146 1 www.facebook.com star-mini.c10r.facebook.com 3423
1579654310.045718146 2 star-mini.c10r.facebook.com www.facebook.com 36
1579654312.507566662 1 js-agent.newrelic.com f4.shared.global.fastly.net 7066
1579654312.507566662 2 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579654312.507566662 3 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579654312.507566662 4 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579654312.507566662 5 f4.shared.global.fastly.net js-agent.newrelic.com 29
1579654312.640442121 1 bam.nr-data.net bam.nr-data.net 20410
1579654312.640442121 2 bam.nr-data.net bam.nr-data.net 20410
1579654312.640442121 3 bam.nr-data.net bam.nr-data.net 20410
1579654312.640442121 4 bam.nr-data.net bam.nr-data.net 20410
1579654312.703361417 1 pixel-sync.sitescout.com pixel-a.sitescout.com 232
1579654312.703361417 2 pixel-a.sitescout.com pixel-sync.sitescout.com 899
1579654312.710147339 1 sync.1rx.io sync.1rx.io 59
1579654312.710175573 1 data.adsrvr.org match.adsrvr.org 21599
1579654312.710175573 2 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 10799
1579654312.710175573 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 9 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 37
1579654312.710175573 10 match-1943069928.eu-west-1.elb.amazonaws.com data.adsrvr.org 37
1579654312.710679796 1 um.simpli.fi um.simpli.fi 299
1579654312.710679796 2 um.simpli.fi um.simpli.fi 299
1579654312.710679796 3 um.simpli.fi um.simpli.fi 299
1579654312.715268090 1 ce.lijit.com vap.lijit.com 20720
1579654312.715268090 2 vap.lijit.com vap.lijit.com 190
1579654312.715268090 3 vap.lijit.com vap.lijit.com 190
1579654312.715268090 4 vap.lijit.com vap.lijit.com 190
1579654312.715268090 5 vap.lijit.com vap.lijit.com 190
1579654312.715268090 6 vap.lijit.com vap.lijit.com 190
1579654312.715268090 7 vap.lijit.com ce.lijit.com 190
1579654312.717044897 1 p.rfihub.com a.rfihub.com 1312
1579654312.717044897 2 a.rfihub.com a.rfihub.com.akadns.net 2865
1579654312.717044897 3 a.rfihub.com.akadns.net a-emea.rfihub.com.akadns.net 3599
1579654312.717044897 4 a-emea.rfihub.com.akadns.net p.rfihub.com 299
