1579794178.275059072 5 eu.v3.tt.onthe.io eu.v3.tt.onthe.io 233
1579794178.275059072 6 eu.v3.tt.onthe.io eu.v3.tt.onthe.io 233
1579794178.275059072 7 eu.v3.tt.onthe.io eu.v3.tt.onthe.io 233
1579794178.275059072 8 eu.v3.tt.onthe.io eu.v3.tt.onthe.io 233
1579794178.275059072 9 eu.v3.tt.onthe.io tt.onthe.io 233
1579794178.396613153 1 data.giraff.io data.giraff.io 169
1579794178.396613153 2 data.giraff.io data.giraff.io 169
1579794178.440210815 1 static.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 2 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 3 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 4 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 5 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 6 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 7 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 8 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 9 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 10 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 11 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 12 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 13 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 14 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 15 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 16 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794178.440210815 17 cdn-advert.smi2.net static.smi2.net 110
1579794178.458931305 1 target.smi2.ru target.smi2.net 80
1579794178.458931305 2 target.smi2.net target.smi2.net 590
1579794178.458931305 3 target.smi2.net target.smi2.net 590
1579794178.458931305 4 target.smi2.net target.smi2.net 590
1579794178.458931305 5 target.smi2.net target.smi2.net 590
1579794178.458931305 6 target.smi2.net target.smi2.net 590
1579794178.458931305 7 target.smi2.net target.smi2.ru 590
1579794178.466719127 1 stat.media stat.media 77
1579794178.466719127 2 stat.media stat.media 77
1579794178.466719127 3 stat.media stat.media 77
1579794178.466719127 4 stat.media stat.media 77
1579794178.466719127 5 stat.media stat.media 77
1579794178.466719127 6 stat.media stat.media 77
1579794178.490255731 1 vk.com vk.com 333
1579794178.490255731 2 vk.com vk.com 333
1579794178.490255731 3 vk.com vk.com 333
1579794178.490255731 4 vk.com vk.com 333
1579794178.490255731 5 vk.com vk.com 333
1579794178.490255731 6 vk.com vk.com 333
1579794178.502083214 1 banners.adfox.ru banners.adfox.net 2
1579794178.502083214 2 banners.adfox.net s3.yandex.net 2
1579794178.502083214 3 s3.yandex.net banners.adfox.ru 302
1579794178.506575520 1 www.googletagservices.com pagead46.l.doubleclick.net 21599
1579794178.506575520 2 pagead46.l.doubleclick.net www.googletagservices.com 299
1579794178.513004535 1 graph.facebook.com api.facebook.com 2658
1579794178.513004535 2 api.facebook.com star.c10r.facebook.com 3018
1579794178.513004535 3 star.c10r.facebook.com graph.facebook.com 59
1579794178.559898133 1 stats.g.doubleclick.net stats.l.doubleclick.net 21313
1579794178.559898133 2 stats.l.doubleclick.net stats.l.doubleclick.net 13
1579794178.559898133 3 stats.l.doubleclick.net stats.l.doubleclick.net 13
1579794178.559898133 4 stats.l.doubleclick.net stats.l.doubleclick.net 13
1579794178.559898133 5 stats.l.doubleclick.net stats.g.doubleclick.net 13
1579794178.560565853 1 dmg.digitaltarget.ru dmg.digitaltarget.ru 478
1579794178.560565853 2 dmg.digitaltarget.ru dmg.digitaltarget.ru 478
1579794178.560565853 3 dmg.digitaltarget.ru dmg.digitaltarget.ru 478
1579794178.560565853 4 dmg.digitaltarget.ru dmg.digitaltarget.ru 478
1579794178.560565853 5 dmg.digitaltarget.ru dmg.digitaltarget.ru 478
1579794178.674919827 1 js.spotx.tv m-spotx-tv.search-gtm.spotxchange.com.akadns.net 424
1579794178.674919827 2 m-spotx-tv.search-gtm.spotxchange.com.akadns.net ams01.m.spotx.tv 90
1579794178.674919827 3 ams01.m.spotx.tv ams01.m.spotx.tv 239
1579794178.674919827 4 ams01.m.spotx.tv js.spotx.tv 239
1579794178.683587013 1 leokross.com leokross.com 7671
1579794178.709470617 1 connect.ok.ru connect.ok.ru 299
1579794178.709470617 2 connect.ok.ru connect.ok.ru 299
1579794178.709470617 3 connect.ok.ru connect.ok.ru 299
1579794178.718375865 1 ocsp.usertrust.com ocsp.usertrust.com 856
1579794178.738573781 1 ad.mail.ru r.mail.ru 139
1579794178.738573781 2 r.mail.ru ad.mail.ru 29
1579794178.792067121 1 ocsp.sectigo.com ocsp.sectigo.com 2211
1579794179.820519110 1 target.smi2.net target.smi2.net 308
1579794179.820519110 2 target.smi2.net target.smi2.net 308
1579794179.820519110 3 target.smi2.net target.smi2.net 308
1579794179.820519110 4 target.smi2.net target.smi2.net 308
1579794179.820519110 5 target.smi2.net target.smi2.net 308
1579794179.820519110 6 target.smi2.net target.smi2.net 308
1579794179.848552138 1 aka.spotxcdn.com cdn.spotxcdn.com.edgekey.net 563
1579794179.848552138 2 cdn.spotxcdn.com.edgekey.net e3143.g.akamaiedge.net 4528
1579794179.848552138 3 e3143.g.akamaiedge.net aka.spotxcdn.com 19
1579794180.045479610 1 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 2 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 3 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 4 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 5 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 6 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 7 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 8 kraken.rambler.ru kraken.rambler.ru 72
1579794180.045479610 9 kraken.rambler.ru kraken.rambler.ru 72
1579794180.651835408 1 avatars.mds.yandex.net avatars.mds.yandex.net 483
1579794180.651835408 2 avatars.mds.yandex.net avatars.mds.yandex.net 483
1579794180.651835408 3 avatars.mds.yandex.net avatars.mds.yandex.net 483
1579794180.651835408 4 avatars.mds.yandex.net avatars.mds.yandex.net 483
1579794180.712774153 1 adservice.google.es pagead46.l.doubleclick.net 294
1579794180.712774153 2 pagead46.l.doubleclick.net adservice.google.es 294
1579794180.717572981 1 adservice.google.com pagead46.l.doubleclick.net 299
1579794180.717572981 2 pagead46.l.doubleclick.net adservice.google.com 299
1579794180.719089213 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 21502
1579794180.719089213 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 202
1579794180.796805688 1 a4.smi2.ru news.smi2.ru 18
1579794180.796805688 2 news.smi2.ru news.smi2.ru 89
1579794180.796805688 3 news.smi2.ru news.smi2.ru 89
1579794180.796805688 4 news.smi2.ru news.smi2.ru 89
1579794180.796805688 5 news.smi2.ru news.smi2.ru 89
1579794180.796805688 6 news.smi2.ru news.smi2.ru 89
1579794180.796805688 7 news.smi2.ru news.smi2.ru 89
1579794180.796805688 8 news.smi2.ru news.smi2.ru 89
1579794180.796805688 9 news.smi2.ru news.smi2.ru 89
1579794180.796805688 10 news.smi2.ru news.smi2.ru 89
1579794180.796805688 11 news.smi2.ru news.smi2.ru 89
1579794180.796805688 12 news.smi2.ru news.smi2.ru 89
1579794180.796805688 13 news.smi2.ru news.smi2.ru 89
1579794180.796805688 14 news.smi2.ru news.smi2.ru 89
1579794180.796805688 15 news.smi2.ru news.smi2.ru 89
1579794180.796805688 16 news.smi2.ru news.smi2.ru 89
1579794180.796805688 17 news.smi2.ru a4.smi2.ru 89
1579794181.018509962 1 img-light.com img-light.com 13747
1579794181.151654915 1 cdn.digitru.st a005.digitrust.inscname.net 3594
1579794181.151654915 2 a005.digitrust.inscname.net pciins-033.inscname.net 528
1579794181.151654915 3 pciins-033.inscname.net a-h2-instartops-002.insnw.net 528
1579794181.151654915 4 a-h2-instartops-002.insnw.net cdn.digitru.st 3528
1579794181.175043672 1 sync.search.spotxchange.com sync.search-gtm.spotxchange.com.akadns.net 490
1579794181.175043672 2 sync.search-gtm.spotxchange.com.akadns.net ams01.sync.search.spotxchange.com 236
1579794181.175043672 3 ams01.sync.search.spotxchange.com ams01.sync.search.spotxchange.com 402
1579794181.175043672 4 ams01.sync.search.spotxchange.com sync.search.spotxchange.com 402
1579794181.302381085 1 net.finam.ru smi2.net 19924
1579794181.302381085 2 smi2.net net.finam.ru 303
1579794181.322120007 1 smi2.net smi2.net 323
1579794181.449370161 1 tpc.googlesyndication.com tpc.googlesyndication.com 299
1579794181.676806248 1 search.spotxchange.com geo.search-gtm.spotxchange.com.akadns.net 429
1579794181.676806248 2 geo.search-gtm.spotxchange.com.akadns.net ams01.search.spotxchange.com 192
1579794181.676806248 3 ams01.search.spotxchange.com ams01.search.spotxchange.com 419
1579794181.676806248 4 ams01.search.spotxchange.com search.spotxchange.com 419
1579794181.690229897 1 static2.smi2.net cdn-advert.smi2.net 319
1579794181.690229897 2 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 3 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 4 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 5 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 6 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 7 cdn-advert.smi2.net cdn-advert.smi2.net 354
